date,absorption_amc,absorption_amc91,absorption_who,absorption_csc
2021-01,7576226,2957404,123618096.0464458,22.28571428571428
2021-02,20852234,10858213,145352699.1852463,41192.34640522876
2021-03,79756468,24146665,338349547.5206371,2452550.560860909
2021-04,120177185,30910880,528338138.4217789,3741961.03003545
2021-05,96601573,40283877,802871783.4439623,3821678.726003735
2021-06,183459246,62180296,1101517703.221714,5022859.727922748
2021-07,227616138,98368195,1091609631.068903,4118173.258361814
2021-08,350873206,165991980,1165397224.192677,6072742.706518524
2021-09,438938880,206657242,932924905.9804412,10874779.0180861
2021-10,402442874,227006053,773655861.5815933,13568727.53706159
2021-11,426722982,245498490,983194081.4459932,17718568.23509014
2021-12,451666737,241548772,1104294212.988188,27473911.45768746
2022-01,442463228,225863240,950468286.22533,21063354.25114683
2022-02,325127077,215284200,652417787.0216391,40014617.06836324
2022-03,232474016,167770365,503312311.5768883,22864724.77852406
2022-04,149468984,101776029,337160969.4717584,15096565.78883247
2022-05,135860078,72826285,274921421.1449918,17229124.0766557
2022-06,160014724,136461250,247076271.4431689,39187222.86844343
2022-07,178679080,112024825,272043017.8596029,38048966.75293766
2022-08,174537245,76199419,245817264.6980097,25905948.0768163
2022-09,100710217,58281419,162220710.7937619,23662167.81755507
2022-10,83750472,70490890,156607592.4747882,33902548.91736136
2022-11,61838410,59038337,135086463.7057412,25397842.06431927
2022-12,54411330,52659110,119805583.0416257,24296995.90116638
2023-01,54225523,50046725,100943209.61189,13461121.40730404
2023-02,25370410,24566291,55937387.76802777,14726647.0715822
2023-03,45747854,45076959,73523624.35661565,17107681.79468749
2023-04,20988576,20911294,38068719.50050751,9688923.136109442
2023-05,35906880,35861636,49172603.6816534,24999088.14452026
2023-06,14094574,14067396,56733192.76295134,8047660.992272886
2023-07,8433143,8423224,31697627.24624983,4385249.410196457
2023-08,7540611,7530692,12176020.30420103,3691440.465257271
2023-09,7134898,7125299,12906141.60864042,4235314.693457885
2023-10,5267797,4687440,21099685.59298157,2225249.828682056
2023-11,4401586,3384989,21190419.02518789,1549388.541991306
2023-12,4988339,4988339,20897365.28666771,326365.2620689641
